"#","Date Time, GMT-04:00","Light (LGR S/N: 21163761, SEN S/N: 21163761)","Occupancy (LGR S/N: 21163761, SEN S/N: 21163761)","Started (LGR S/N: 21163761)","Internal Calibration (LGR S/N: 21163761)","Button Up (LGR S/N: 21163761)","Button Down (LGR S/N: 21163761)","Host Connected (LGR S/N: 21163761)","Stopped (LGR S/N: 21163761)","End Of File (LGR S/N: 21163761)"
1,07/07/23 11:49:55 AM,1.00,0.00,Logged,Logged,,,,,
2,07/07/23 11:49:56 AM,,,,,Logged,,,,
3,07/07/23 11:49:57 AM,,1.00,,,,,,,
4,07/07/23 11:51:01 AM,,0.00,,,,,,,
5,07/07/23 12:00:09 PM,0.00,,,,,,,,
6,07/07/23 12:43:25 PM,1.00,1.00,,,,,,,
7,07/07/23 12:43:30 PM,0.00,,,,,,,,
8,07/07/23 12:43:33 PM,1.00,,,,,,,,
9,07/07/23 12:44:38 PM,,0.00,,,,,,,
10,07/07/23 12:53:41 PM,0.00,,,,,,,,
11,07/07/23 01:23:30 PM,1.00,1.00,,,,,,,
12,07/07/23 01:23:33 PM,0.00,,,,,,,,
13,07/07/23 01:23:38 PM,,,,,,Logged,,,
14,07/07/23 01:23:43 PM,,,,,Logged,,,,
15,07/07/23 01:23:44 PM,,,,,,Logged,,,
16,07/07/23 01:23:45 PM,1.00,,,,,,,,
17,07/07/23 01:23:46 PM,,,,,Logged,,,,
18,07/07/23 01:23:48 PM,,,,,,Logged,,,
19,07/07/23 01:23:53 PM,0.00,,,,Logged,,,,
20,07/07/23 01:23:59 PM,1.00,,,,,,,,
21,07/07/23 01:24:00 PM,0.00,,,,,,,,
22,07/07/23 01:24:31 PM,1.00,,,,,,,,
23,07/07/23 01:24:32 PM,0.00,,,,,,,,
24,07/07/23 01:25:22 PM,1.00,,,,,,,,
25,07/07/23 01:25:24 PM,0.00,,,,,,,,
26,07/07/23 01:25:26 PM,,,,,,,Logged,,
27,07/07/23 01:25:28 PM,1.00,,,,,,,,
28,07/07/23 01:25:39 PM,0.00,,,,,,,,
29,07/07/23 01:25:45 PM,1.00,,,,,,,,
30,07/07/23 01:25:46 PM,0.00,,,,,,,,
31,07/07/23 01:25:47 PM,1.00,,,,,,,,
32,07/07/23 01:25:49 PM,1.00,1.00,,,,,,Logged,Logged
